timestamp,q_mean
06-Jun-2018 00:00:00,10.777778
06-Jun-2018 00:15:00,10.666667
06-Jun-2018 00:30:00,9.555555
06-Jun-2018 00:45:00,9.444445
06-Jun-2018 01:00:00,10.444445
06-Jun-2018 01:15:00,10.222222
06-Jun-2018 01:30:00,9.666667
06-Jun-2018 01:45:00,10.222222
06-Jun-2018 02:00:00,9.666667
06-Jun-2018 02:15:00,9.333333
06-Jun-2018 02:30:00,9.111112
06-Jun-2018 02:45:00,9.222222
06-Jun-2018 03:00:00,9.000000
06-Jun-2018 03:15:00,8.777778
06-Jun-2018 03:30:00,9.000000
06-Jun-2018 03:45:00,9.333333
06-Jun-2018 04:00:00,9.444445
06-Jun-2018 04:15:00,9.777778
06-Jun-2018 04:30:00,10.555555
06-Jun-2018 04:45:00,10.666667
06-Jun-2018 05:00:00,11.666667
06-Jun-2018 05:15:00,15.222222
06-Jun-2018 05:30:00,18.666666
06-Jun-2018 05:45:00,20.000000
06-Jun-2018 06:00:00,23.555555
06-Jun-2018 06:15:00,26.777779
06-Jun-2018 06:30:00,26.333334
06-Jun-2018 06:45:00,26.888889
06-Jun-2018 07:00:00,28.555555
06-Jun-2018 07:15:00,28.444445
06-Jun-2018 07:30:00,28.000000
06-Jun-2018 07:45:00,26.000000
06-Jun-2018 08:00:00,25.333334
06-Jun-2018 08:15:00,26.333334
06-Jun-2018 08:30:00,25.888889
06-Jun-2018 08:45:00,25.777779
06-Jun-2018 09:00:00,25.444445
06-Jun-2018 09:15:00,25.888889
06-Jun-2018 09:30:00,25.111111
06-Jun-2018 09:45:00,25.666666
06-Jun-2018 10:00:00,24.888889
06-Jun-2018 10:15:00,25.888889
06-Jun-2018 10:30:00,23.444445
06-Jun-2018 10:45:00,25.222223
06-Jun-2018 11:00:00,24.222223
06-Jun-2018 11:15:00,24.555555
06-Jun-2018 11:30:00,24.777779
06-Jun-2018 11:45:00,25.555555
06-Jun-2018 12:00:00,25.111111
06-Jun-2018 12:15:00,26.000000
06-Jun-2018 12:30:00,23.888889
06-Jun-2018 12:45:00,22.666666
06-Jun-2018 13:00:00,21.666666
06-Jun-2018 13:15:00,22.555555
06-Jun-2018 13:30:00,21.777779
06-Jun-2018 13:45:00,21.555555
06-Jun-2018 14:00:00,18.777779
06-Jun-2018 14:15:00,19.555555
06-Jun-2018 14:30:00,20.444445
06-Jun-2018 14:45:00,19.666666
06-Jun-2018 15:00:00,21.111111
06-Jun-2018 15:15:00,22.555555
06-Jun-2018 15:30:00,22.444445
06-Jun-2018 15:45:00,23.444445
06-Jun-2018 16:00:00,24.000000
06-Jun-2018 16:15:00,25.000000
06-Jun-2018 16:30:00,25.111111
06-Jun-2018 16:45:00,24.111111
06-Jun-2018 17:00:00,23.888889
06-Jun-2018 17:15:00,24.666666
06-Jun-2018 17:30:00,24.777779
06-Jun-2018 17:45:00,25.333334
06-Jun-2018 18:00:00,26.444445
06-Jun-2018 18:15:00,26.111111
06-Jun-2018 18:30:00,27.111111
06-Jun-2018 18:45:00,25.666666
06-Jun-2018 19:00:00,25.888889
06-Jun-2018 19:15:00,27.555555
06-Jun-2018 19:30:00,24.888889
06-Jun-2018 19:45:00,23.222223
06-Jun-2018 20:00:00,23.333334
06-Jun-2018 20:15:00,22.555555
06-Jun-2018 20:30:00,22.222223
06-Jun-2018 20:45:00,20.444445
06-Jun-2018 21:00:00,20.444445
06-Jun-2018 21:15:00,21.777779
06-Jun-2018 21:30:00,19.777779
06-Jun-2018 21:45:00,20.111111
06-Jun-2018 22:00:00,18.666666
06-Jun-2018 22:15:00,16.666666
06-Jun-2018 22:30:00,14.888889
06-Jun-2018 22:45:00,14.666667
06-Jun-2018 23:00:00,12.777778
06-Jun-2018 23:15:00,13.333333
06-Jun-2018 23:30:00,12.666667
06-Jun-2018 23:45:00,12.333333
07-Jun-2018 00:00:00,11.888889
